AGS,mun_name,municipality_area_m2,rp,thesis_group,total_area_m2,flooded_area_m2,flooded_landcover_total_area_m2,original_flood_area_m2,flood_share_of_group,share_of_lc_flooded_area,share_of_original_flood_area
01051011,"Brunsbüttel, Stadt",49858782.29993694,rp100,water,2499374.012004508,2113635.048166674,43225803.026613876,43225802.40778954,0.8456657699147356,0.04889753110810507,0.04889753180812636
01051012,Buchholz,14568132.652381137,rp100,artificial,568107.9027745053,73790.44075538998,6126377.2260446865,6126377.358898825,0.12988807301397293,0.012044710606733334,0.012044710345536619
01051012,Buchholz,14568132.652381137,rp100,open_or_seasonal,5061278.092402199,661761.4482950706,6126377.2260446865,6126377.358898825,0.13074986914638853,0.10801839715023837,0.10801839480779514
01051012,Buchholz,14568132.652381137,rp100,perennial_vegetation,8611072.950045578,5073139.434600539,6126377.2260446865,6126377.358898825,0.5891413838938255,0.8280814659981133,0.828081448040674
01051012,Buchholz,14568132.652381137,rp100,water,327672.5477451738,317685.9023936874,6126377.2260446865,6126377.358898825,0.969522483893729,0.051855426244915036,0.05185542512039926
01051016,Burg (Dithmarschen),11383828.076215843,rp100,artificial,1402777.9212563941,81467.4691513917,6876330.529316554,6876330.187585183,0.058075813652973374,0.011847520825833374,0.011847521414616842
01051016,Burg (Dithmarschen),11383828.076215843,rp100,open_or_seasonal,2321559.8739812477,687015.0854287321,6876330.529316554,6876330.187585183,0.2959282218513575,0.09991013121020163,0.09991013617541201
01051016,Burg (Dithmarschen),11383828.076215843,rp100,perennial_vegetation,6862588.213181165,5461478.10342432,6876330.529316554,6876330.187585183,0.7958335738306878,0.7942431039549145,0.7942431434262279
01051016,Burg (Dithmarschen),11383828.076215843,rp100,water,796901.1013114728,646369.8713121099,6876330.529316554,6876330.187585183,0.8111042515167424,0.09399924400905046,0.09399924868050887
01051021,Diekhusen-Fahrstedt,7534255.303305844,rp100,artificial,437280.56898549286,253446.65144201063,7033846.642129061,7033846.437733978,0.5795973327376889,0.03603243919536116,0.036032440242420326
01051021,Diekhusen-Fahrstedt,7534255.303305844,rp100,open_or_seasonal,5030152.56389045,4911370.310498457,7033846.642129061,7033846.437733978,0.9763859541269811,0.6982481365291531,0.6982481568194007
01051021,Diekhusen-Fahrstedt,7534255.303305844,rp100,perennial_vegetation,2066821.5175355582,1869029.6801885923,7033846.642129061,7033846.437733978,0.9043014427376345,0.26571942427548567,0.26571943199697123
01051021,Diekhusen-Fahrstedt,7534255.303305844,rp100,water,0,0,7033846.642129061,7033846.437733978,NA,0,0
01051022,Dingen,6804427.198824078,rp100,artificial,348299.58297741576,299420.31848290074,5454495.9968348425,5454495.792725107,0.859663155273762,0.05489422279467243,0.05489422484883944
01051022,Dingen,6804427.198824078,rp100,open_or_seasonal,2729252.967824742,1821473.2211818015,5454495.9968348425,5454495.792725107,0.667388931203964,0.33393978513116035,0.33393979762734033
01051022,Dingen,6804427.198824078,rp100,perennial_vegetation,3723627.885859242,3331553.20406375,5454495.9968348425,5454495.792725107,0.8947062666265806,0.610790292264766,0.610790315120819
01051022,Dingen,6804427.198824078,rp100,water,3246.217898878386,2049.253106390118,5454495.9968348425,5454495.792725107,0.63127404574356,3.756998094011375e-4,3.756998234599968e-4
01051024,Eddelak,9430113.660749562,rp100,artificial,720173.9165000874,720173.9165000874,9417668.290132968,9417668.191284902,1,0.07647051205388328,0.07647051285651955
01051024,Eddelak,9430113.660749562,rp100,open_or_seasonal,2399505.9820949947,2395040.8671188937,9417668.290132968,9417668.191284902,0.9981391523882751,0.25431357246126557,0.2543135751305468
01051024,Eddelak,9430113.660749562,rp100,perennial_vegetation,6310433.068764992,6302453.506513987,9417668.290132968,9417668.191284902,0.9987354968883987,0.6692159154848512,0.669215922508957
01051024,Eddelak,9430113.660749562,rp100,water,0,0,9417668.290132968,9417668.191284902,NA,0,0
01051034,Friedrichskoog,40956108.532680385,rp100,artificial,1889808.5052735042,1418035.7659895686,38855371.870918855,38855371.373620704,0.7503595004639595,0.03649523084479579,0.03649523131188722
01051034,Friedrichskoog,40956108.532680385,rp100,open_or_seasonal,30825103.81611956,30347827.30510254,38855371.870918855,38855371.373620704,0.9845166292427072,0.7810458591393961,0.7810458691357658
01051034,Friedrichskoog,40956108.532680385,rp100,perennial_vegetation,8197494.353027299,7048248.426639175,38855371.870918855,38855371.373620704,0.859805218900369,0.18139701377853515,0.1813970161001807
01051034,Friedrichskoog,40956108.532680385,rp100,water,43698.88995115534,41260.37318756951,38855371.870918855,38855371.373620704,0.944197283585201,0.0010618962372729384,0.0010618962508638274
01051046,Helse,11579597.503951008,rp100,artificial,488342.9532612266,434141.88238309225,11342965.931679452,11342965.86748935,0.8890102324274948,0.03827410617275941,0.038274106389353454
01051046,Helse,11579597.503951008,rp100,open_or_seasonal,8480362.418708999,8414755.226224184,11342965.931679452,11342965.86748935,0.9922636334102803,0.7418478797263113,0.7418478839244453
01051046,Helse,11579597.503951008,rp100,perennial_vegetation,2606076.686611537,2489254.2809740044,11342965.931679452,11342965.86748935,0.955173074438793,0.2194535623193433,0.21945356356123602
01051046,Helse,11579597.503951008,rp100,water,4814.542098172453,4814.542098172453,11342965.931679452,11342965.86748935,1,4.244517815861593e-4,4.2445178398814166e-4
