AGS,mun_name,municipality_area_m2,thesis_group,total_area_m2,total_share_of_municipality
01051077,Neufelderkoog,9766139.134465128,artificial,202786.892703787,0.020764284627908202
01051077,Neufelderkoog,9766139.134465128,open_or_seasonal,6051818.828471238,0.6196736238493784
01051077,Neufelderkoog,9766139.134465128,perennial_vegetation,3393465.5698801433,0.34747258083846627
01051077,Neufelderkoog,9766139.134465128,water,118067.17816797404,0.012089442567053939
01051090,Ramhusen,4811046.791946799,artificial,154386.95728371583,0.032090096804326215
01051090,Ramhusen,4811046.791946799,open_or_seasonal,3460307.6515807444,0.7192421527416749
01051090,Ramhusen,4811046.791946799,perennial_vegetation,1196351.717594949,0.24866765370013025
01051090,Ramhusen,4811046.791946799,water,0,0
01051097,Sankt Michaelisdonn,16233178.391032968,artificial,1586756.460818883,0.09774773754075111
01051097,Sankt Michaelisdonn,16233178.391032968,open_or_seasonal,7574961.978418639,0.46663455522690284
01051097,Sankt Michaelisdonn,16233178.391032968,perennial_vegetation,7052038.417468515,0.43442129739447605
01051097,Sankt Michaelisdonn,16233178.391032968,water,19420.236883834492,0.0011963299124810962
01051103,Schmedeswurth,5892558.023501109,artificial,193678.24904354807,0.032868280341255364
01051103,Schmedeswurth,5892558.023501109,open_or_seasonal,5159673.760060627,0.8756254481470455
01051103,Schmedeswurth,5892558.023501109,perennial_vegetation,539205.6020028285,0.09150620152611671
01051103,Schmedeswurth,5892558.023501109,water,0,0
01051118,Trennewurth,2602865.7944192216,artificial,34832.65454770976,0.013382424334898136
01051118,Trennewurth,2602865.7944192216,open_or_seasonal,2265372.456310417,0.8703377873602164
01051118,Trennewurth,2602865.7944192216,perennial_vegetation,302660.4348319344,0.11627969274515251
01051118,Trennewurth,2602865.7944192216,water,0,0
01051119,Volsemenhusen,16230066.527724972,artificial,335636.9426904217,0.020679948669161074
01051119,Volsemenhusen,16230066.527724972,open_or_seasonal,12316617.448476937,0.7588765842356286
01051119,Volsemenhusen,16230066.527724972,perennial_vegetation,3577811.0631507407,0.22044340095827417
01051119,Volsemenhusen,16230066.527724972,water,0,0
01053006,Basedow,7518809.0585793,artificial,301637.4352538971,0.04011771450821925
01053006,Basedow,7518809.0585793,open_or_seasonal,5527206.323631795,0.7351172613334294
01053006,Basedow,7518809.0585793,perennial_vegetation,1297065.3642912623,0.17250941660917063
01053006,Basedow,7518809.0585793,water,392899.7297711652,0.052255580200277714
01053012,Börnsen,8323247.9952027835,artificial,1229624.3917457585,0.1477337203522554
01053012,Börnsen,8323247.9952027835,open_or_seasonal,4675944.816312885,0.5617932829837498
01053012,Börnsen,8323247.9952027835,perennial_vegetation,2415210.1599446214,0.2901764024497
01053012,Börnsen,8323247.9952027835,water,2467.8064126713743,2.964956005268289e-4
01053019,Buchhorst,5376219.315804567,artificial,297140.8469916887,0.055269480193670395
01053019,Buchhorst,5376219.315804567,open_or_seasonal,2589113.347092642,0.4815862588569219
01053019,Buchhorst,5376219.315804567,perennial_vegetation,2098237.9914303073,0.39028132376632774
01053019,Buchhorst,5376219.315804567,water,391726.84399513406,0.07286288393101222
01053022,Dalldorf,6091500.118137796,artificial,177627.85800073572,0.02915995314058001
01053022,Dalldorf,6091500.118137796,open_or_seasonal,3402264.4234795542,0.5585265300002398
01053022,Dalldorf,6091500.118137796,perennial_vegetation,2157696.381613736,0.3542142887248856
01053022,Dalldorf,6091500.118137796,water,353910.9026326591,0.05809913744873267
01053028,Escheburg,8667299.006766826,artificial,759357.2696104,0.08761175413673239
01053028,Escheburg,8667299.006766826,open_or_seasonal,3516837.8080596416,0.4057593727081457
01053028,Escheburg,8667299.006766826,perennial_vegetation,4371629.867590075,0.504382029993082
01053028,Escheburg,8667299.006766826,water,19473.47145076062,0.0022467750836283693
01053032,"Geesthacht, Stadt",33166528.39905428,artificial,8037386.466090243,0.24233427054486123
01053032,"Geesthacht, Stadt",33166528.39905428,open_or_seasonal,13609393.38455943,0.41033517951633103
01053032,"Geesthacht, Stadt",33166528.39905428,perennial_vegetation,8893924.571969293,0.26815964773156353
01053032,"Geesthacht, Stadt",33166528.39905428,water,2625821.6358770435,0.0791708316373539
01053082,Lanze,9046360.492095219,artificial,237793.0669636079,0.026286048093196526
01053082,Lanze,9046360.492095219,open_or_seasonal,4386771.349752103,0.48492112972783896
01053082,Lanze,9046360.492095219,perennial_vegetation,4052803.2286864985,0.4480037283753914
01053082,Lanze,9046360.492095219,water,368992.1752582805,0.04078901958204172
01053083,"Lauenburg/ Elbe, Stadt",9473087.371422347,artificial,3153808.5134261483,0.33292298379304575
01053083,"Lauenburg/ Elbe, Stadt",9473087.371422347,open_or_seasonal,2368940.664942885,0.2500706023349173
01053083,"Lauenburg/ Elbe, Stadt",9473087.371422347,perennial_vegetation,2975489.7146932776,0.3140992580380391
01053083,"Lauenburg/ Elbe, Stadt",9473087.371422347,water,974847.732969664,0.10290707714894584
01053111,Schnakenbek,12870335.164193522,artificial,348871.80028736906,0.027106660070358002
01053111,Schnakenbek,12870335.164193522,open_or_seasonal,7807631.711076056,0.6066377923705996
01053111,Schnakenbek,12870335.164193522,perennial_vegetation,3486854.5707355756,0.2709218156521931
01053111,Schnakenbek,12870335.164193522,water,1226976.0883754957,0.0953336546968146
01053132,Witzeeze,10495961.298507476,artificial,363659.8140383157,0.034647594793440026
01053132,Witzeeze,10495961.298507476,open_or_seasonal,7442201.710913531,0.7090538445460741
01053132,Witzeeze,10495961.298507476,perennial_vegetation,2189805.8702390576,0.2086331883245842
01053132,Witzeeze,10495961.298507476,water,500293.24534193776,0.047665309647538366
01056015,"Elmshorn, Stadt",21718470.939397104,artificial,11153470.405424003,0.5135476819038725
01056015,"Elmshorn, Stadt",21718470.939397104,open_or_seasonal,5362943.9686904615,0.24693008930762853
01056015,"Elmshorn, Stadt",21718470.939397104,perennial_vegetation,5099345.958482963,0.2347930465598661
01056015,"Elmshorn, Stadt",21718470.939397104,water,102709.12402635183,0.004729113956178123
01056016,Groß Nordende,5340428.20831366,artificial,272257.3887911661,0.050980441674570595
01056016,Groß Nordende,5340428.20831366,open_or_seasonal,2894586.801584332,0.5420139900164208
01056016,Groß Nordende,5340428.20831366,perennial_vegetation,2084782.8038582564,0.3903774608584366
01056016,Groß Nordende,5340428.20831366,water,88800.8487045452,0.016628039033706202
01056019,Haselau,13858594.472800285,artificial,549331.2407689659,0.039638308332574174
01056019,Haselau,13858594.472800285,open_or_seasonal,7956103.770060854,0.5740916790426319
01056019,Haselau,13858594.472800285,perennial_vegetation,5041377.514409903,0.3637726411797687
01056019,Haselau,13858594.472800285,water,311780.79529369186,0.022497288300455845
01056020,Haseldorf,17828832.385785304,artificial,710095.7940552327,0.03982850804191657
01056020,Haseldorf,17828832.385785304,open_or_seasonal,7742345.4120983,0.43425981267686214
01056020,Haseldorf,17828832.385785304,perennial_vegetation,9048002.693432823,0.5074927228911904
01056020,Haseldorf,17828832.385785304,water,328387.0140355364,0.018418873817971113
01056024,Heist,10026421.897521911,artificial,1133445.107100175,0.11304582219708036
01056024,Heist,10026421.897521911,open_or_seasonal,3860969.7842941787,0.3850795252540131
01056024,Heist,10026421.897521911,perennial_vegetation,4986813.926893337,0.49736725402766635
01056024,Heist,10026421.897521911,water,45192.396042474764,0.004507330382102146
01056027,Hetlingen,16612298.931134848,artificial,661940.8691891835,0.03984643377374884
01056027,Hetlingen,16612298.931134848,open_or_seasonal,2937556.389790356,0.17683021488884806
01056027,Hetlingen,16612298.931134848,perennial_vegetation,12597252.519860147,0.7583088031392402
01056027,Hetlingen,16612298.931134848,water,415548.0199238252,0.025014480033525233
01056028,Holm,15990597.672439087,artificial,1574141.0957207861,0.09844166728263874
01056028,Holm,15990597.672439087,open_or_seasonal,5532852.007927725,0.34600657969551585
01056028,Holm,15990597.672439087,perennial_vegetation,8791323.321009839,0.5497807837515855
01056028,Holm,15990597.672439087,water,92279.4940928072,0.005770859600317339
01056029,Klein Nordende,10938633.548486909,artificial,1049243.4502280967,0.09592088861713753
01056029,Klein Nordende,10938633.548486909,open_or_seasonal,4375024.587348988,0.3999607965616661
01056029,Klein Nordende,10938633.548486909,perennial_vegetation,5464858.62787801,0.4995924402855546
01056029,Klein Nordende,10938633.548486909,water,49506.04140830461,0.004525797595180667
01056033,Seester,11794495.023722433,artificial,409028.25884779287,0.03467959060774612
01056033,Seester,11794495.023722433,open_or_seasonal,5956048.869385118,0.50498549174048
01056033,Seester,11794495.023722433,perennial_vegetation,5397630.087296599,0.45763977825589564
01056033,Seester,11794495.023722433,water,31786.781043499966,0.0026950523086886526
01056036,Moorrege,10968219.25797059,artificial,1734624.7389981737,0.1581500787137916
01056036,Moorrege,10968219.25797059,open_or_seasonal,4892826.87893245,0.4460912718695735
01056036,Moorrege,10968219.25797059,perennial_vegetation,4190720.6864154646,0.38207849313096776
01056036,Moorrege,10968219.25797059,water,150046.07541323814,0.01368007621694833
01056037,Neuendeich,8692777.980512053,artificial,298498.4254873415,0.034338668968255215
01056037,Neuendeich,8692777.980512053,open_or_seasonal,5644869.851203725,0.649374672154138
01056037,Neuendeich,8692777.980512053,perennial_vegetation,2692199.9883820997,0.3097053662727406
01056037,Neuendeich,8692777.980512053,water,57209.01455041983,0.006581211976041968
01056038,Osterhorn,6379190.011986988,artificial,302511.9144861771,0.047421681109628966
01056038,Osterhorn,6379190.011986988,open_or_seasonal,3465184.5459229103,0.5432013373816367
01056038,Osterhorn,6379190.011986988,perennial_vegetation,2608809.2813510983,0.40895619607645256
01056038,Osterhorn,6379190.011986988,water,2683.5810478656203,4.2067739678908536e-4
01056042,Raa-Besenbek,12680443.623905033,artificial,349494.37443799037,0.027561683550181747
01056042,Raa-Besenbek,12680443.623905033,open_or_seasonal,4750185.576196776,0.3746072075303247
01056042,Raa-Besenbek,12680443.623905033,perennial_vegetation,7572688.689571501,0.5971943028314524
01056042,Raa-Besenbek,12680443.623905033,water,8074.241062083205,6.367475225284497e-4
01056045,Seestermühe,18131697.570214853,artificial,403306.5104385018,0.02224317435676944
01056045,Seestermühe,18131697.570214853,open_or_seasonal,12103944.469045961,0.6675571563100219
01056045,Seestermühe,18131697.570214853,perennial_vegetation,5056403.327575777,0.27887092799749696
01056045,Seestermühe,18131697.570214853,water,568041.9127639713,0.031328666858921154
01056049,"Uetersen, Stadt",11394260.212415596,artificial,4536457.450941083,0.3981353213259072
01056049,"Uetersen, Stadt",11394260.212415596,open_or_seasonal,3642411.8526874455,0.3196707627159982
01056049,"Uetersen, Stadt",11394260.212415596,perennial_vegetation,3172848.638981212,0.27846025804500774
01056049,"Uetersen, Stadt",11394260.212415596,water,42541.40883823082,0.003733582351566464
01056050,"Wedel, Stadt",28241022.934794217,artificial,6827163.796853245,0.2417463352023935
01056050,"Wedel, Stadt",28241022.934794217,open_or_seasonal,7963793.416734127,0.28199380153905024
01056050,"Wedel, Stadt",28241022.934794217,perennial_vegetation,12928619.043949356,0.45779570640200545
01056050,"Wedel, Stadt",28241022.934794217,water,521444.81605326064,0.018464090952272732
01056051,Westerhorn,9403788.53334251,artificial,575173.9050075604,0.06116406201268744
01056051,Westerhorn,9403788.53334251,open_or_seasonal,2815274.3839753475,0.2993766154984642
01056051,Westerhorn,9403788.53334251,perennial_vegetation,6000078.685405691,0.6380490867198398
01056051,Westerhorn,9403788.53334251,water,13260.89153342466,0.0014101647954339067
01058007,Arpsdorf,12061621.416374272,artificial,183190.8461942038,0.0151879121280919
01058007,Arpsdorf,12061621.416374272,open_or_seasonal,8873808.00977356,0.7357060633429358
01058007,Arpsdorf,12061621.416374272,perennial_vegetation,3003855.8649707697,0.2490424596557873
01058007,Arpsdorf,12061621.416374272,water,765.6318016310215,6.347668984135391e-5
01058009,Aukrug,49941251.62624388,artificial,1669654.2355009736,0.03343236665345364
01058009,Aukrug,49941251.62624388,open_or_seasonal,24857686.28790831,0.49773855236831344
01058009,Aukrug,49941251.62624388,perennial_vegetation,23197820.57365151,0.46450218643421365
01058009,Aukrug,49941251.62624388,water,216086.22685081547,0.004326808396152875
01058024,Borgstedt,5921919.114139004,artificial,600804.4180294477,0.10145434384522145
01058024,Borgstedt,5921919.114139004,open_or_seasonal,3206303.742390177,0.5414298440407432
01058024,Borgstedt,5921919.114139004,perennial_vegetation,1790994.3553932759,0.3024347886003963
01058024,Borgstedt,5921919.114139004,water,323816.09112843877,0.05468093786612262
01058026,Bovenau,26343157.203893557,artificial,526698.0910121377,0.01999373449945821
01058026,Bovenau,26343157.203893557,open_or_seasonal,19633959.998847403,0.7453153715358566
01058026,Bovenau,26343157.203893557,perennial_vegetation,5417072.772643932,0.2056349104519363
01058026,Bovenau,26343157.203893557,water,765424.2117566185,0.02905590267075078
01058029,Breiholz,10560873.009996124,artificial,99190.80955641111,0.009392292612791063
01058029,Breiholz,10560873.009996124,open_or_seasonal,4158426.421769876,0.39375782833803835
01058029,Breiholz,10560873.009996124,perennial_vegetation,5209049.285913078,0.49324040550270665
01058029,Breiholz,10560873.009996124,water,1094205.6355903177,0.10360939238210945
01058034,"Büdelsdorf, Stadt",5153811.36168117,artificial,3036284.6581218066,0.5891338361152925
01058034,"Büdelsdorf, Stadt",5153811.36168117,open_or_seasonal,737643.1970499022,0.14312576562935814
01058034,"Büdelsdorf, Stadt",5153811.36168117,perennial_vegetation,787584.4668522669,0.1528159281707504
01058034,"Büdelsdorf, Stadt",5153811.36168117,water,592298.4677671056,0.1149243591201014
01058035,Bünsdorf,13331204.183072826,artificial,360258.1467765178,0.027023676318299307
01058035,Bünsdorf,13331204.183072826,open_or_seasonal,8744272.614323929,0.6559251883207137
01058035,Bünsdorf,13331204.183072826,perennial_vegetation,3454371.6966083837,0.25911925503283045
01058035,Bünsdorf,13331204.183072826,water,772300.6422165268,0.05793179907912208
01058044,Ehndorf,14688959.266090315,artificial,323501.83999527886,0.02202346906510169
01058044,Ehndorf,14688959.266090315,open_or_seasonal,9029838.221632304,0.6147364192422959
01058044,Ehndorf,14688959.266090315,perennial_vegetation,5204032.030633799,0.354281875003043
01058044,Ehndorf,14688959.266090315,water,131586.18890906806,0.00895816963784744
01058075,Hörsten,4929022.675857492,artificial,59660.41347932377,0.01210390322843154
01058075,Hörsten,4929022.675857492,open_or_seasonal,1501169.680735814,0.30455726813524114
01058075,Hörsten,4929022.675857492,perennial_vegetation,2906135.801462168,0.5895967603672251
01058075,Hörsten,4929022.675857492,water,462056.4872093127,0.09374200883117863
01058119,Oldenbüttel,4571073.039308612,artificial,157070.76708137788,0.03436190271532727
01058119,Oldenbüttel,4571073.039308612,open_or_seasonal,1212281.0294866576,0.2652071010595837
01058119,Oldenbüttel,4571073.039308612,perennial_vegetation,2750522.6163861845,0.6017236199757178
01058119,Oldenbüttel,4571073.039308612,water,451198.24035600864,0.09870729180565745
01058124,Osterrönfeld,17919744.749897826,artificial,2335050.3782430515,0.13030600663306688
01058124,Osterrönfeld,17919744.749897826,open_or_seasonal,5777580.408267005,0.3224142134223172
01058124,Osterrönfeld,17919744.749897826,perennial_vegetation,9434939.407456009,0.526510814698396
01058124,Osterrönfeld,17919744.749897826,water,372173.19836214243,0.020768889487907716
01058132,Rade b. Rendsburg,6542077.157998715,artificial,216801.1826437841,0.0331395025475526
01058132,Rade b. Rendsburg,6542077.157998715,open_or_seasonal,4715423.69674954,0.7207838707594874
01058132,Rade b. Rendsburg,6542077.157998715,perennial_vegetation,775067.6328161141,0.1184742420636957
01058132,Rade b. Rendsburg,6542077.157998715,water,834784.284572896,0.1276023294149384
01058135,"Rendsburg, Stadt",9258032.509931145,artificial,3597737.442682294,0.38860712995152913
01058135,"Rendsburg, Stadt",9258032.509931145,open_or_seasonal,2704243.7523084437,0.2920970248708444
01058135,"Rendsburg, Stadt",9258032.509931145,perennial_vegetation,1979117.6329557148,0.2137730269182684
01058135,"Rendsburg, Stadt",9258032.509931145,water,976933.1225923932,0.10552275783698441
01058140,Schacht-Audorf,6283014.522038246,artificial,1738990.1312911743,0.27677639852518376
01058140,Schacht-Audorf,6283014.522038246,open_or_seasonal,2148721.857714025,0.341989000690224
01058140,Schacht-Audorf,6283014.522038246,perennial_vegetation,1586422.7455910465,0.25249388490612656
01058140,Schacht-Audorf,6283014.522038246,water,808879.5103393784,0.12874067177501497
01058148,Schülp b. Rendsburg,8028885.458245777,artificial,456124.84607274196,0.05681048116140397
01058148,Schülp b. Rendsburg,8028885.458245777,open_or_seasonal,3828211.4048918127,0.47680483484294656
01058148,Schülp b. Rendsburg,8028885.458245777,perennial_vegetation,2760894.734814106,0.34387023568490804
01058148,Schülp b. Rendsburg,8028885.458245777,water,983653.5863545903,0.12251433794517076
01058158,Tackesdorf,7266262.169202912,artificial,33366.884508032614,0.00459202871174312
01058158,Tackesdorf,7266262.169202912,open_or_seasonal,1118366.1084421135,0.15391216039274772
01058158,Tackesdorf,7266262.169202912,perennial_vegetation,5572617.646012338,0.7669166782381096
01058158,Tackesdorf,7266262.169202912,water,541910.807401628,0.07457903317863276
01058172,Westerrönfeld,7737648.470862418,artificial,1774538.6263075164,0.22933823279642102
01058172,Westerrönfeld,7737648.470862418,open_or_seasonal,2684127.7439673617,0.34689192124389645
01058172,Westerrönfeld,7737648.470862418,perennial_vegetation,2936217.924569848,0.3794716102219858
01058172,Westerrönfeld,7737648.470862418,water,342763.4866059663,0.04429814663934491
01060063,"Norderstedt, Stadt",58688458.514370754,artificial,16249915.31206657,0.27688434359010355
01060063,"Norderstedt, Stadt",58688458.514370754,open_or_seasonal,18569543.718541272,0.31640878272504364
01060063,"Norderstedt, Stadt",58688458.514370754,perennial_vegetation,23464773.521550823,0.3998192168534316
01060063,"Norderstedt, Stadt",58688458.514370754,water,404221.3165504323,0.006887577673410056
01061002,Aebtissinwisch,3020344.4797404734,artificial,69884.97247004366,0.02313808008947662
01061002,Aebtissinwisch,3020344.4797404734,open_or_seasonal,313521.8684201174,0.10380334777146252
01061002,Aebtissinwisch,3020344.4797404734,perennial_vegetation,2617051.059277156,0.8664743630508097
01061002,Aebtissinwisch,3020344.4797404734,water,19886.310987874665,0.006584120162870766
01061004,Altenmoor,6308005.038218986,artificial,102746.86240703937,0.016288329160252083
01061004,Altenmoor,6308005.038218986,open_or_seasonal,647822.7493456495,0.10269851489030468
01061004,Altenmoor,6308005.038218986,perennial_vegetation,5557434.879113232,0.8810130691782593
01061004,Altenmoor,6308005.038218986,water,0,0
01061005,Auufer,5179584.184234425,artificial,95681.0698378942,0.018472731870857014
01061005,Auufer,5179584.184234425,open_or_seasonal,1399328.6825595354,0.2701623591366273
01061005,Auufer,5179584.184234425,perennial_vegetation,3676626.234385478,0.7098303847587537
01061005,Auufer,5179584.184234425,water,7947.153911074591,0.0015343227619051103
01061006,Bahrenfleth,14423782.39802058,artificial,345573.3191080233,0.0239585782405763
01061006,Bahrenfleth,14423782.39802058,open_or_seasonal,9081803.033288825,0.6296408793947937
01061006,Bahrenfleth,14423782.39802058,perennial_vegetation,4632443.723341779,0.32116705559683867
01061006,Bahrenfleth,14423782.39802058,water,363961.288578358,0.025233415101180778
01061007,Beidenfleth,13774586.588365396,artificial,488423.94341832714,0.035458337735585536
01061007,Beidenfleth,13774586.588365396,open_or_seasonal,3700803.632991696,0.26866894401880287
01061007,Beidenfleth,13774586.588365396,perennial_vegetation,9092496.389925733,0.6600921437167228
01061007,Beidenfleth,13774586.588365396,water,492861.58423337573,0.03578049918751592
01061008,Bekdorf,1806392.1699555144,artificial,73608.1165153323,0.040748691086911114
01061008,Bekdorf,1806392.1699555144,open_or_seasonal,560341.02849257,0.31019899101221715
01061008,Bekdorf,1806392.1699555144,perennial_vegetation,1172442.942786443,0.6490522724172993
01061008,Bekdorf,1806392.1699555144,water,0,0
01061010,Bekmünde,2887204.766797483,artificial,102236.54469806349,0.035410216093355
01061010,Bekmünde,2887204.766797483,open_or_seasonal,594641.677265842,0.20595756979350813
01061010,Bekmünde,2887204.766797483,perennial_vegetation,2149402.562110385,0.7444579569929584
01061010,Bekmünde,2887204.766797483,water,40923.877521003385,0.014174220682794373
01061012,Blomesche Wildnis,6817268.927033406,artificial,365821.8884351569,0.05366106168769662
01061012,Blomesche Wildnis,6817268.927033406,open_or_seasonal,4697487.2231880585,0.6890570510663735
01061012,Blomesche Wildnis,6817268.927033406,perennial_vegetation,1749610.7669738878,0.2566439413935877
01061012,Blomesche Wildnis,6817268.927033406,water,4348.631872972823,6.378847482059312e-4
01061014,Bokhorst,5940544.993389139,artificial,148234.02173782964,0.024952933089942085
01061014,Bokhorst,5940544.993389139,open_or_seasonal,3194559.642300528,0.5377553146816586
01061014,Bokhorst,5940544.993389139,perennial_vegetation,2596922.7879437464,0.43715227993958455
01061014,Bokhorst,5940544.993389139,water,828.3215162580508,1.3943527356157355e-4
01061015,Borsfleth,13873937.828345843,artificial,491105.8210429919,0.035397723928069905
01061015,Borsfleth,13873937.828345843,open_or_seasonal,5401425.385494786,0.38932172338693444
01061015,Borsfleth,13873937.828345843,perennial_vegetation,7479465.485698632,0.5391018453619805
01061015,Borsfleth,13873937.828345843,water,501940.0991097061,0.03617863257857422
01061016,Breitenberg,3043215.531401111,artificial,139721.45388868716,0.0459124411159793
01061016,Breitenberg,3043215.531401111,open_or_seasonal,905461.3722386804,0.2975344213696891
01061016,Breitenberg,3043215.531401111,perennial_vegetation,1913541.1642802947,0.6287892344579653
01061016,Breitenberg,3043215.531401111,water,84491.45413345839,0.027763874514191288
